idx	basket	amount_usdc_base	request_tx	request_block	submit_seconds	nonce
75	0x1fbfef9aa7f4e8f8bd84b940396c9263c0c2ac2212f53759ceb3b71aaeed43fe	5000000	0x8e40265a6d7420620ff780f0d29fc4a5c84497c6c5ba6783137a3ff208305a6f	-	12	420
80	0xb2cbc4016a8155cd5b6be0c2683f937c73985e9bee24f6cb8e383f4967408757	5000000	0x3dae500baddba632cf47a85ecfac70cd65d952bc5d1fc70bab91541312c3869f	-	13	425
83	0xb2cbc4016a8155cd5b6be0c2683f937c73985e9bee24f6cb8e383f4967408757	50000000	0xc87c5fe2a96660d578ecb2feebaccf8a829061974b629433902ee34da0fdcc8c	-	23	428
90	0x1fbfef9aa7f4e8f8bd84b940396c9263c0c2ac2212f53759ceb3b71aaeed43fe	5000000	0x3f8fc523e340a89f9348f726fadb843e39762883cab50faf8e801ac04d9c4391	-	23	435
91	0x74491929c2f72408e48b338222172a8a07d8c3087617d09881d00d72278eb6c1	10000000	0x1d39f32b45004897df06a484510c6d0b62ffc7f208d1f3795b001353961859bf	-	23	436
85	0x74491929c2f72408e48b338222172a8a07d8c3087617d09881d00d72278eb6c1	5000000	0xf9c5d1b8b596ce8e38747f17cd873c32c95a2149d97d565eb2764ae28d93c39c	-	24	430
84	0x1fbfef9aa7f4e8f8bd84b940396c9263c0c2ac2212f53759ceb3b71aaeed43fe	100000000	0xe9adde33463ef2cd7eb4545128c19a57d587c6b303ed19384761cec329646ed8	-	24	429
82	0x74491929c2f72408e48b338222172a8a07d8c3087617d09881d00d72278eb6c1	25000000	0xc8d07657f9ce626a1c443635b1e0214372fa7fd1fe9a520fa629ad6d1fcd928e	-	24	427
89	0xb2cbc4016a8155cd5b6be0c2683f937c73985e9bee24f6cb8e383f4967408757	100000000	0x335d28a4108062f0c4cbc17fe7d8ea754c7c6de5998c15c7ba8e31d44caa02ce	-	25	434
86	0xb2cbc4016a8155cd5b6be0c2683f937c73985e9bee24f6cb8e383f4967408757	10000000	0xa0f23fea144818da26bafa1b58b8a7850b637256b3b8f9a8f05eaa10f6a21de2	-	25	431
87	0x1fbfef9aa7f4e8f8bd84b940396c9263c0c2ac2212f53759ceb3b71aaeed43fe	25000000	0x76ec7aada983eedf5751dca54d72eb16cfdd06b4faf45b0a63b09f21d0b7b9f8	-	25	432
88	0x74491929c2f72408e48b338222172a8a07d8c3087617d09881d00d72278eb6c1	50000000	0x576cd9c047d94fc8571ca9e76f531fd7a5e87a1ad8de40212d6ae9bf722ff458	-	25	433
96	0x1fbfef9aa7f4e8f8bd84b940396c9263c0c2ac2212f53759ceb3b71aaeed43fe	10000000	0xbdc71465f62e611adc1e92e38dc5cbd2da5e1437dde04cd0428c89809ae09366	-	10	441
99	0x1fbfef9aa7f4e8f8bd84b940396c9263c0c2ac2212f53759ceb3b71aaeed43fe	100000000	0x0111a1b278a64b575034cf230f2ca90ad7e9f8ba16ff01fb52aa5a7a02e8b4d3	-	11	444
95	0xb2cbc4016a8155cd5b6be0c2683f937c73985e9bee24f6cb8e383f4967408757	5000000	0xe9e0b753570323e3342b6b9bd513f31cd85c78bd24373c7f1f96ccb0e9c86fba	-	12	440
94	0x74491929c2f72408e48b338222172a8a07d8c3087617d09881d00d72278eb6c1	100000000	0xc2a0f674446fb5c33be1c363429bfe7c638f4ab1b59dabccbb01dde44a053d96	-	12	439
98	0xb2cbc4016a8155cd5b6be0c2683f937c73985e9bee24f6cb8e383f4967408757	50000000	0xc55fcd6169457d87135071fc5c1a205e88dc1a0e7669c925428e00b262b4dcbd	-	11	443
93	0x1fbfef9aa7f4e8f8bd84b940396c9263c0c2ac2212f53759ceb3b71aaeed43fe	50000000	0x93ecdddbcb16c467d05003957479c6dec093a172cf3e3c512130f50b6fa4cdba	-	12	438
92	0xb2cbc4016a8155cd5b6be0c2683f937c73985e9bee24f6cb8e383f4967408757	25000000	0xe0ecf91440da28b58675f910622c5e40287bba36b04bb40f065d3b226d9b7475	-	12	437
97	0x74491929c2f72408e48b338222172a8a07d8c3087617d09881d00d72278eb6c1	25000000	0x5ed90ff5ce6531b8dc3b6cfdf2b17954892be890a8c69aa9827c22745c522551	-	12	442
